problem,n,n_subjects,n_features,model,accuracy,accuracy_std,roc_auc,roc_auc_std,f1,f1_std
ketamine,36,18,3794,LogReg,0.7666666666666667,0.14092945437739804,0.825,0.16488632447841148,0.7633333333333334,0.14288571142914272
ketamine,36,18,3794,SVC-rbf,0.6916666666666667,0.05,0.6958333333333333,0.13411230782859235,0.687142857142857,0.04808344975757844
ketamine,36,18,3794,RandomForest,0.6916666666666667,0.11666666666666667,0.8368055555555556,0.11457281096466855,0.6833333333333333,0.11935199185260242
ketamine,36,18,3794,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
ketamine,36,18,3794,Dummy,0.3583333333333333,0.02041241452319316,0.3583333333333334,0.02041241452319313,0.35238095238095235,0.01555231582719478
perampanel,40,20,3780,LogReg,0.7,0.1274754878398196,0.6625,0.16105123408406408,0.6806637806637807,0.14567397241176014
perampanel,40,20,3780,SVC-rbf,0.575,0.1695582495781317,0.2625,0.06123724356957945,0.5513708513708513,0.19790603024539058
perampanel,40,20,3780,RandomForest,0.675,0.1,0.7375,0.07288689868556626,0.656060606060606,0.11906816036871673
perampanel,40,20,3780,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
perampanel,40,20,3780,Dummy,0.625,0.0,0.625,0.0,0.6190476190476191,0.0
psilocybin,30,15,3808,LogReg,0.5666666666666667,0.08164965809277258,0.6444444444444444,0.04444444444444444,0.48880952380952386,0.14038253536614753
psilocybin,30,15,3808,SVC-rbf,0.6666666666666666,0.10540925533894599,0.3111111111111111,0.12957670877434002,0.6545238095238095,0.10950413902033583
psilocybin,30,15,3808,RandomForest,0.5,0.10540925533894598,0.6444444444444445,0.16329931618554525,0.460952380952381,0.12338388373867921
psilocybin,30,15,3808,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
psilocybin,30,15,3808,Dummy,0.6666666666666666,0.0,0.6666666666666667,0.0,0.6666666666666666,0.0
tiagabine,30,15,3822,LogReg,0.7666666666666668,0.13333333333333336,0.8222222222222223,0.08888888888888886,0.7600000000000001,0.13714285714285715
tiagabine,30,15,3822,SVC-rbf,0.7666666666666667,0.08164965809277264,0.8222222222222223,0.054433105395181744,0.7471428571428572,0.09972922524188657
tiagabine,30,15,3822,RandomForest,0.7666666666666667,0.08164965809277264,0.888888888888889,0.09938079899999065,0.7554761904761905,0.09048746796883222
tiagabine,30,15,3822,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
tiagabine,30,15,3822,Dummy,0.6666666666666666,0.0,0.6666666666666667,0.0,0.6666666666666666,0.0
lsd-Closed1,38,19,3794,LogReg,0.825,0.12747548783981963,0.9125,0.08477912478906585,0.811933621933622,0.14718583312079214
lsd-Closed1,38,19,3794,SVC-rbf,0.7916666666666667,0.12360330811826105,0.8625,0.12747548783981963,0.7861904761904762,0.1261356574551092
lsd-Closed1,38,19,3794,RandomForest,0.8,0.15,0.90625,0.07905694150420949,0.7857431457431457,0.16628762956119805
lsd-Closed1,38,19,3794,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
lsd-Closed1,38,19,3794,Dummy,0.36666666666666664,0.016666666666666673,0.3666666666666667,0.016666666666666653,0.3587301587301587,0.012698412698412698
lsd-Closed2,38,19,3794,LogReg,0.875,0.15811388300841897,0.9,0.1224744871391589,0.8627272727272727,0.17815398669467544
lsd-Closed2,38,19,3794,SVC-rbf,0.7166666666666667,0.1379412113103904,0.8625,0.1,0.7107936507936509,0.1367823008770044
lsd-Closed2,38,19,3794,RandomForest,0.8,0.1274754878398196,0.925,0.07288689868556625,0.7873304473304474,0.1451871195961119
lsd-Closed2,38,19,3794,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
lsd-Closed2,38,19,3794,Dummy,0.36666666666666664,0.016666666666666673,0.3666666666666667,0.016666666666666653,0.3587301587301587,0.012698412698412698
lsd-Music,36,18,3794,LogReg,0.725,0.10736748938937606,0.8111111111111111,0.09656524053204833,0.7018542568542568,0.12427489088477069
lsd-Music,36,18,3794,SVC-rbf,0.7833333333333334,0.08897565210026094,0.9125,0.10897247358851683,0.7765079365079366,0.0909865859945288
lsd-Music,36,18,3794,RandomForest,0.7333333333333334,0.09354143466934854,0.8777777777777779,0.07925190343159502,0.7257142857142858,0.09377930381021846
lsd-Music,36,18,3794,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
lsd-Music,36,18,3794,Dummy,0.3583333333333333,0.02041241452319316,0.3583333333333334,0.02041241452319313,0.35238095238095235,0.01555231582719478
lsd-Open1,38,19,3794,LogReg,0.9,0.09354143466934853,0.925,0.1,0.8958730158730159,0.09914525102701273
lsd-Open1,38,19,3794,SVC-rbf,0.75,0.15811388300841897,0.8125,0.14252192813739226,0.74,0.16885233522551918
lsd-Open1,38,19,3794,RandomForest,0.8,0.1274754878398196,0.95,0.046770717334674264,0.783997113997114,0.14619375427811476
lsd-Open1,38,19,3794,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
lsd-Open1,38,19,3794,Dummy,0.36666666666666664,0.016666666666666673,0.3666666666666667,0.016666666666666653,0.3587301587301587,0.012698412698412698
lsd-Open2,38,19,3794,LogReg,0.8166666666666667,0.12527746981977425,0.925,0.09185586535436917,0.803044733044733,0.1445469203001954
lsd-Open2,38,19,3794,SVC-rbf,0.7416666666666667,0.1301708279317776,0.8375,0.1346291201783626,0.7269841269841271,0.14106101919490863
lsd-Open2,38,19,3794,RandomForest,0.7416666666666667,0.06666666666666668,0.90625,0.09270248108869579,0.7295238095238096,0.0664213172349055
lsd-Open2,38,19,3794,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
lsd-Open2,38,19,3794,Dummy,0.36666666666666664,0.016666666666666673,0.3666666666666667,0.016666666666666653,0.3587301587301587,0.012698412698412698
lsd-Video,38,19,3794,LogReg,0.8416666666666666,0.0927960727138337,0.8875,0.13919410907075053,0.8336507936507938,0.09937268595054652
lsd-Video,38,19,3794,SVC-rbf,0.7916666666666667,0.0950146187582615,0.8875,0.09999999999999999,0.7743145743145744,0.1170405652168773
lsd-Video,38,19,3794,RandomForest,0.7416666666666667,0.10341394704992381,0.975,0.049999999999999996,0.7235209235209237,0.11828641152663441
lsd-Video,38,19,3794,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
lsd-Video,38,19,3794,Dummy,0.36666666666666664,0.016666666666666673,0.3666666666666667,0.016666666666666653,0.3587301587301587,0.012698412698412698
lsd-avg,38,19,3794,LogReg,0.85,0.1224744871391589,0.925,0.09999999999999999,0.8365367965367966,0.1450427759152418
lsd-avg,38,19,3794,SVC-rbf,0.7666666666666667,0.08579691784155835,0.875,0.11180339887498948,0.7607936507936508,0.08735005869398302
lsd-avg,38,19,3794,RandomForest,0.8,0.1274754878398196,0.93125,0.06373774391990981,0.783997113997114,0.14619375427811476
lsd-avg,38,19,3794,HistGB,0.5,0.0,0.5,0.0,0.3333333333333333,0.0
lsd-avg,38,19,3794,Dummy,0.6333333333333333,0.016666666666666653,0.6333333333333334,0.016666666666666698,0.6285714285714286,0.019047619047619025
