problem,model,n,n_subjects,roc_auc,accuracy,null_auc_mean,null_auc_p95,p_perm,n_perms,sig_0.05
ketamine,LogReg,36,18,0.815,0.75,0.495,0.664,0.002,500,True
ketamine,RandomForest,36,18,0.773,0.694,0.482,0.656,0.0033,300,True
perampanel,LogReg,40,20,0.672,0.7,0.496,0.635,0.018,500,True
perampanel,RandomForest,40,20,0.664,0.625,0.492,0.653,0.0465,300,True
psilocybin,LogReg,30,15,0.627,0.567,0.501,0.645,0.0758,500,False
psilocybin,RandomForest,30,15,0.716,0.633,0.49,0.638,0.01,300,True
tiagabine,LogReg,30,15,0.822,0.767,0.501,0.694,0.002,500,True
tiagabine,RandomForest,30,15,0.869,0.767,0.488,0.731,0.0033,300,True
lsd-Closed1,LogReg,38,19,0.839,0.816,0.5,0.67,0.002,500,True
lsd-Closed1,RandomForest,38,19,0.888,0.763,0.482,0.672,0.0033,300,True
lsd-Closed2,LogReg,38,19,0.845,0.868,0.499,0.651,0.002,500,True
lsd-Closed2,RandomForest,38,19,0.895,0.816,0.486,0.683,0.0033,300,True
lsd-Music,LogReg,36,18,0.787,0.722,0.498,0.651,0.002,500,True
lsd-Music,RandomForest,36,18,0.84,0.722,0.48,0.65,0.0033,300,True
lsd-Open1,LogReg,38,19,0.873,0.895,0.497,0.643,0.002,500,True
lsd-Open1,RandomForest,38,19,0.889,0.816,0.481,0.667,0.0033,300,True
lsd-Open2,LogReg,38,19,0.875,0.816,0.499,0.654,0.002,500,True
lsd-Open2,RandomForest,38,19,0.828,0.711,0.489,0.662,0.0033,300,True
lsd-Video,LogReg,38,19,0.834,0.842,0.5,0.668,0.002,500,True
lsd-Video,RandomForest,38,19,0.888,0.737,0.495,0.676,0.0033,300,True
lsd-avg,LogReg,38,19,0.859,0.842,0.502,0.648,0.002,500,True
lsd-avg,RandomForest,38,19,0.892,0.763,0.486,0.662,0.0033,300,True
